input voltage,count_per_sec
-255,-2525
-254,-2510
-253,-2485
-252,-2490
-251,-2485
-250,-2490
-249,-2490
-248,-2470
-247,-2480
-246,-2485
-245,-2495
-244,-2480
-243,-2495
-242,-2475
-241,-2465
-240,-2470
-239,-2460
-238,-2475
-237,-2475
-236,-2460
-235,-2460
-234,-2460
-233,-2460
-232,-2470
-231,-2470
-230,-2450
-229,-2450
-228,-2450
-227,-2445
-226,-2450
-225,-2445
-224,-2440
-223,-2450
-222,-2435
-221,-2435
-220,-2430
-219,-2435
-218,-2435
-217,-2420
-216,-2420
-215,-2425
-214,-2420
-213,-2430
-212,-2420
-211,-2430
-210,-2405
-209,-2410
-208,-2420
-207,-2390
-206,-2395
-205,-2400
-204,-2405
-203,-2410
-202,-2390
-201,-2395
-200,-2390
-199,-2390
-198,-2395
-197,-2380
-196,-2375
-195,-2375
-194,-2365
-193,-2370
-192,-2355
-191,-2340
-190,-2330
-189,-2335
-188,-2335
-187,-2325
-186,-2335
-185,-2335
-184,-2305
-183,-2310
-182,-2305
-181,-2315
-180,-2300
-179,-2290
-178,-2290
-177,-2280
-176,-2290
-175,-2290
-174,-2275
-173,-2265
-172,-2270
-171,-2255
-170,-2250
-169,-2250
-168,-2250
-167,-2255
-166,-2240
-165,-2245
-164,-2235
-163,-2235
-162,-2225
-161,-2220
-160,-2220
-159,-2210
-158,-2215
-157,-2195
-156,-2200
-155,-2205
-154,-2185
-153,-2185
-152,-2175
-151,-2185
-150,-2185
-149,-2180
-148,-2155
-147,-2150
-146,-2150
-145,-2140
-144,-2150
-143,-2130
-142,-2115
-141,-2115
-140,-2110
-139,-2095
-138,-2100
-137,-2090
-136,-2085
-135,-2085
-134,-2090
-133,-2075
-132,-2065
-131,-2065
-130,-2060
-129,-2060
-128,-2045
-127,-2025
-126,-2025
-125,-2025
-124,-2005
-123,-1995
-122,-2000
-121,-2000
-120,-1985
-119,-1975
-118,-1980
-117,-1975
-116,-1965
-115,-1965
-114,-1955
-113,-1955
-112,-1935
-111,-1930
-110,-1920
-109,-1915
-108,-1920
-107,-1920
-106,-1895
-105,-1900
-104,-1885
-103,-1875
-102,-1860
-101,-1850
-100,-1835
-99,-1825
-98,-1810
-97,-1805
-96,-1790
-95,-1785
-94,-1770
-93,-1775
-92,-1750
-91,-1735
-90,-1730
-89,-1710
-88,-1685
-87,-1680
-86,-1660
-85,-1655
-84,-1625
-83,-1615
-82,-1585
-81,-1575
-80,-1555
-79,-1545
-78,-1525
-77,-1495
-76,-1485
-75,-1460
-74,-1445
-73,-1420
-72,-1395
-71,-1370
-70,-1345
-69,-1335
-68,-1310
-67,-1285
-66,-1260
-65,-1240
-64,-1215
-63,-1195
-62,-1170
-61,-1130
-60,-1110
-59,-1075
-58,-1050
-57,-1020
-56,-990
-55,-960
-54,-910
-53,-875
-52,-820
-51,-760
-50,-695
-49,-615
-48,-525
-47,-425
-46,-280
-45,-70
-44,0
-43,0
-42,0
-41,-5
-40,0
-39,0
-38,0
-37,0
-36,0
-35,0
-34,0
-33,0
-32,0
-31,0
-30,0
-29,0
-28,0
-27,0
-26,0
-25,0
-24,0
-23,0
-22,0
-21,0
-20,0
-19,0
-18,0
-17,0
-16,0
-15,0
-14,0
-13,0
-12,0
-11,0
-10,0
-9,0
-8,0
-7,0
-6,0
-5,0
-4,0
-3,0
-2,0
-1,0
0,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,4.999999999999929
39,70.00000000000149
40,239.9999999999966
41,364.9999999999948
42,465.0000000000099
43,544.9999999999923
44,615.0000000000131
45,674.9999999999905
46,719.9999999999898
47,765.0000000000163
48,804.9999999999885
49,845
50,879.9999999999875
51,915
52,950.0000000000202
53,989.9999999999859
54,1010.0000000000215
55,1054.999999999985
56,1074.9999999999848
57,1115.0000000000239
58,1134.9999999999839
59,1175.000000000025
60,1199.999999999983
61,1229.9999999999825
62,1260.0000000000268
63,1284.9999999999818
64,1320.0000000000282
65,1354.9999999999807
66,1369.9999999999804
67,1400.0000000000298
68,1415
69,1440.0000000000307
70,1459.9999999999793
71,1479.999999999979
72,1499.9999999999786
73,1520.0000000000864
74,1539.9999999999782
75,1564.9999999999777
76,1574.9999999999777
77,1604.9999999999773
78,1630.0000000000928
79,1639.9999999999768
80,1649.9999999999766
81,1679.9999999999761
82,1689.999999999976
83,1705.0000000000969
84,1709.9999999999757
85,1724.9999999999754
86,1739.9999999999752
87,1759.999999999975
88,1775.000000000101
89,1794.9999999999745
90,1769.9999999999748
91,1779.9999999999748
92,1809.9999999999743
93,1830.0000000001041
94,1844.9999999999739
95,1844.9999999999739
96,1854.9999999999736
97,1864.9999999999734
98,1890.0000000001075
99,1899.999999999973
100,1904.999999999973
101,1904.999999999973
102,1929.9999999999725
103,1935
104,1944.9999999999723
105,1954.9999999999723
106,1954.9999999999723
107,1969.999999999972
108,1995.0000000001135
109,1989.9999999999718
110.01,2009.9999999999714
111.01,2004.9999999999716
112.01,2009.9999999999714
113.01,2025.000000000115
114.01,2039.9999999999711
115.01,2039.9999999999711
116.01,2054.999999999971
117.01,2054.999999999971
118.01,2070.000000000118
119.01,2079.9999999999704
120.01,2084.9999999999704
121.01,2089.9999999999704
122.01,2094.9999999999704
123.01,2100.0000000001196
124.01,2115
125.01,2110
126.01,2129.9999999999695
127.01,2129.9999999999695
128.01,2145.000000000122
129.01,2149.9999999999695
130.01,2154.9999999999695
131.01,2169.999999999969
132.01,2174.999999999969
133.01,2165.0000000001232
134.01,2194.9999999999686
135.01,2174.999999999969
136,2194.9999999999686
137,2204.9999999999686
138,2210.0000000001255
139,2204.9999999999686
140,2219.9999999999686
141,2199.9999999999686
142,2194.9999999999686
143,2225.0000000001264
144,2209.9999999999686
145,2214.9999999999686
146,2224.999999999968
147,2224.999999999968
148,2225.0000000001264
149,2244.999999999968
150,2244.999999999968
151,2249.999999999968
152,2244.999999999968
153,2260.0000000001287
153.99,2264.9999999999677
154.99,2269.9999999999677
155.99,2269.9999999999677
156.99,2274.9999999999677
157.99,2285
158.99,2279.9999999999677
159.99,2289.9999999999673
160.99,2289.9999999999673
161.99,2294.9999999999673
162.99,2300.000000000131
163.99,2299.9999999999673
164.99,2309.9999999999673
165.99,2319.9999999999673
166.99,2319.9999999999673
167.99,2320.000000000132
168.99,2334.999999999967
169.99,2329.999999999967
170.99,2334.999999999967
171.98,2334.999999999967
172.98,2340.0000000001332
173.98,2344.999999999967
174.98,2359.9999999999663
175.98,2349.999999999967
176.98,2349.999999999967
177.98,2360.000000000134
178.98,2354.9999999999663
179.98,2369.9999999999663
180.98,2374.9999999999663
181.98,2364.9999999999663
182.98,2385.0000000001355
183.98,2389.999999999966
184.98,2379.9999999999663
185.98,2384.999999999966
186.98,2384.999999999966
187.98,2400.0000000001364
188.98,2389.999999999966
189.97,2384.999999999966
190.97,2394.999999999966
191.97,2399.999999999966
192.97,2400.0000000001364
193.97,2399.999999999966
194.97,2409.999999999966
195.97,2399.999999999966
196.97,2414.999999999966
197.97,2430.0000000001382
198.97,2424.9999999999654
199.97,2434.9999999999654
200.97,2424.9999999999654
201.97,2454.999999999965
202.97,2465
203.97,2479.999999999965
204.97,2479.999999999965
205.97,2484.9999999999645
206.97,2474.999999999965
207.96,2490.0000000001414
208.96,2484.9999999999645
209.96,2489.9999999999645
210.96,2489.9999999999645
211.96,2494.9999999999645
212.96,2495.000000000142
213.96,2509.9999999999645
214.96,2499.9999999999645
215.96,2494.9999999999645
216.96,2504.9999999999645
217.96,2510.000000000143
218.96,2499.9999999999645
219.96,2514.999999999964
220.96,2499.9999999999645
221.96,2529.999999999964
222.96,2520.0000000001432
223.96,2514.999999999964
224.96,2519.999999999964
225.96,2519.999999999964
226.95,2514.999999999964
227.95,2535.000000000144
228.95,2514.999999999964
229.95,2534.999999999964
230.95,2524.999999999964
231.95,2524.999999999964
232.95,2525.0000000001437
233.95,2539.999999999964
234.95,2529.999999999964
235.95,2529.999999999964
236.95,2529.999999999964
237.95,2530.0000000001437
238.95,2534.999999999964
239.95,2539.999999999964
240.95,2564.9999999999636
241.95,2544.9999999999636
242.95,2550.000000000145
243.95,2539.999999999964
244.94,2554.9999999999636
245.94,2539.999999999964
246.94,2554.9999999999636
247.94,2550.000000000145
248.94,2564.9999999999636
249.94,2549.9999999999636
250.94,2539.999999999964
251.94,2564.9999999999636
252.94,2560.0000000001455
253.94,2589.999999999963
254.94,2594.999999999963
